URL,Product Name,Product Description,Average Rating,Total Reviews
https://www.influenster.com/reviews/garnier-sleek-shine-intensely-smooth-leave-in-conditioning-cream,Garnier Sleek & Shine Intensely Smooth Leave-In Conditioning Cream,"Leave-in conditioning cream for up to 3 day sleek* *With shampoo, conditioner and leave-in cream",4 / 5,24370
https://www.influenster.com/reviews/head-shoulders-classic-clean-anti-dandruff-shampoo,Head & Shoulders Classic Clean Anti-Dandruff Shampoo,"Head & Shoulders® Classic Clean Shampoo is paraben free America’s #1 dandruff shampoo (*based on volume sales) Clinically proven to protect against flakes, itch, oil and dryness with regular use (**flakes and itch associated with dandruff; washes away oil & flakes) Clinically proven. Up to 100% dandruff protection. ( ***visible flakes, with regular use)",5 / 5,18494
https://www.influenster.com/reviews/pantene-daily-moisture-renewal-shampoo,Pantene Daily Moisture Renewal Shampoo,Daily Moisture Renewal Shampoo,3 / 5,17030
https://www.influenster.com/reviews/tresemme-silky-smooth-shampoo-for-frizzy-hair,Tresemme Silky & Smooth Shampoo for Frizzy Hair,"Looking for that high glam, smooth look? TRESemmé Silky & Smooth Shampoo for frizzy hair delivers intense, weightless moisturization where your hair needs it. This smoothing shampoo, infused with Morrocan Argan oil, helps cleanse hair while taming flyaways and frizz for silky smooth results. Free from Parabens, Mineral Oils, and DMDM Hydantoin. TRESemmé is proud to be a hair care brand approved by PETA (People for the Ethical Treatment of Animals).",4 / 5,14324
https://www.influenster.com/reviews/pantene-pro-v-smooth-sleek-shampoo-conditioner,Pantene Pro-V Smooth & Sleek Shampoo & Conditioner,"Smooth things over with this frizz-fighting collection. With Moroccan Argan Oil, this multitasking anti-frizz formula helps keep straight and wavy hair sleek and sexy all day - even in high humidity. The formula in this smoothing collection helps make damaged hair more manageable and smoothes fly-aways. Use it daily for hair that is touchably soft, visibly shiny, and noticeably healthier (vs. non-conditioning shampoo).",5 / 5,13594
https://www.influenster.com/reviews/ogx-beauty-coconut-milk-shampoo,Ogx Beauty Coconut Milk Shampoo,"This deliciously creamy and nourishing blend, infused with coconut milk, whipped egg proteins and coconut oils, helps to strengthen and hydrate your hair, leaving it softly scented, super soft and glowing.",5 / 5,10652
https://www.influenster.com/reviews/dove-nutritive-solutions-intensive-repair-shampoo,Dove Nutritive Solutions Intensive Repair Shampoo,"When it comes to healthy hair – caring for damage is key. Dove Intensive Repair System helps to nourish your hair, leaving it visibly repaired.",5 / 5,10456
https://www.influenster.com/reviews/garnier-sleek-shine-shampoo-61,Garnier Sleek & Shine Shampoo,,4 / 5,9589
https://www.influenster.com/reviews/garnier-repairing-shampoo-honey-treasures,Garnier Repairing Shampoo Honey Treasures,Repairing shampoo strengthens & heals damage,4 / 5,9456
https://www.influenster.com/reviews/loreal-paris-total-repair-5-repairing-shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo,Total Repair 5 Repairing Shampoo,5 / 5,9224
https://www.influenster.com/reviews/aussie-miracle-moist-shampoo,Aussie Miracle Moist Shampoo,Calling all dehydrated divas: our Mega Moist Shampoo is coming to rescue your mane with its gentle cleansing formula and super-smoothing ways.,4 / 5,8577
https://www.influenster.com/reviews/tresemme-purify-and-replenish-deep-cleansing-shampoo,TRESemmé Purify and Replenish Deep Cleansing Shampoo,"Purify for that just-left-the-salon feel with TRESemmé Purify & Replenish Deep Cleanse Shampoo, which will clarify and gently remove build-up and heavy residues that diminish your hair’s shine.",5 / 5,8350
https://www.influenster.com/reviews/pantene-repair-protect-shampoo,Pantene Repair & Protect Shampoo,"Fight Damage Every Wash. Formulated with powerful Pro-V nutrients and antioxidants, the nutrient-rich lather of Pantene Pro-V Repair & Protect Shampoo helps repair hair for 2x less breakage* and visibly shiny hair. Nourishing your hair from root to tip, give your hair the strength it deserves. *Shampoo & conditioner system vs. non-conditioning shampoo",5 / 5,8327
https://www.influenster.com/reviews/tresemme-rich-moisture-shampoo-for-dry-hair,Tresemme Rich Moisture Shampoo for Dry Hair,"Don't go a day without salon-quality hydrated hair! TRESemmé Rich Moisture Shampoo for dry hair is formulated with amino acids and ceramide to deliver intense hydration to dry strands, leaving tresses with a beautiful, healthy shine. This moisturizing shampoo with hyaluronic acid and vitamin E is ideal for dry, parched hair in need of nourishment. Free from Parabens, Mineral Oils, and DMDM Hydantoin.TRESemmé is proud to be a hair care brand approved by PETA (People for the Ethical Treatment of Animals).",5 / 5,7591
https://www.influenster.com/reviews/tresemme-keratin-smooth-infusing-shampoo,TRESemmé Keratin Smooth Infusing Shampoo,Want to control unmanageable locks? Looking for the perfect product to smooth and tame your frizz? Step up TRESemmé Keratin Smooth. TRESemmé Keratin Smooth brings frizz calming innovation to the fore to give you up to 48 hours of frizz control. Infused with Keratin for hair that’s silky smooth but still full of natural movement.,4 / 5,7331
https://www.influenster.com/reviews/dove-daily-moisture-shampoo,Dove Daily Moisture Shampoo,"Get hair that looks up to 5x smoother with dove daily moisture shampoo & conditioner system vs. Non-conditioning  • helps protect normal hair from daily wear and tear • system nourishes to make hair softer and 5x smoother vs. Non-conditioning shampoo • leaves your hair feeling silky and manageable every day • progressively nourishes, leaving hair healthier in the long run • formulated with pro-moisture complex • suitable for daily use Daily grooming, styling and sun exposure are just a few of the things that contribute to everyday wear and tear on our hair. But getting silky hair may not be as difficult as it seems: did you know that with the right moisturizing shampoo, you can help protect your hair and keep it soft and manageable every day? We’ve created the dove daily moisture system to help moisturize, nourish and protect, giving you softer hair that’s up to 5x smoother vs. Non-conditioning shampoo after the very first wash. The unique formulation with pro-moisture complex smoothes and progressively nourishes deep inside, helping to make your hair healthier wash after wash. Apply dove daily moisture shampoo to wet hair, lather and rinse. For the best results, follow with dove daily moisture conditioner.    Ingredients: Water (aqua), sodium laureth sulfate, glycol distearate, cocamidopropyl betaine, sodium chloride, fragrance (parfum), glycerin, dimethicone, dimethiconol, acrylates/beheneth-25 methacrylate copolymer, styrene/acrylates copolymer, guar hydroxypropyltrimonium chloride, citric acid, tetrasodium edta, amodimethicone, dmdm hydantoin, peg-45m, tea-dodecylbenzenesulfonate, cocamide mea, lysine hcl, arginine, peg-9m, cetrimonium chloride, ppg-9, propylene glycol, methylchloroisothiazolinone, methylisothiazolinone, mica (ci 77019), titanium dioxide (ci 77891), yellow 5 (ci 19140), red 33 (ci 17200).",5 / 5,6735
